Speaker,Utterance,Dialogue_Act,Dialogue_ID,File_ID
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,1,B209_BB2a0
U,"Hola , quería un viaje de ida",Pregunta,1,B209_BB2a0
U,a Madrid,Pregunta,1,B209_BB2a0
U,el cinco de abril .,Pregunta,1,B209_BB2a0
M,¿ Quiere salir desde madrid ? .,Confirmacion,1,B209_BB2a0
U,"No ,",Negacion,1,B209_BB2a0
U,desde Bilbao,Respuesta,1,B209_BB2a0
U,hasta Madrid .,Respuesta,1,B209_BB2a0
M,"Le consulto horarios de trenes con salida en bilbao destino madrid saliendo el lunes , día 5 de abril de 2004 .",Confirmacion,1,B209_BB2a0
M,Un momento por favor .,Espera,1,B209_BB2a0
M,El único tren que realiza el trayecto es un talgo que sale a las 4 y 30 de la tarde .,Respuesta,1,B209_BB2a0
M,Desea algo más ? .,Nueva_consulta,1,B209_BB2a0
U,"Sí , quería saber cuánto cuesta .",Pregunta,1,B209_BB2a0
M,El precio de ese tren en clase turista es 29 con 50 euros el billete de ida . Recuerde que el billete de ida y vuelta siempre supone un ahorro del 20 por ciento .,Respuesta,1,B209_BB2a0
M,Desea algo más ? .,Nueva_consulta,1,B209_BB2a0
U,"No , ya está gracias .",Cierre,1,B209_BB2a0
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,1,B209_BB2a0
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,3,B209_BA3c4
U,"Hola , quería comprar un viaje de ida",Pregunta,3,B209_BA3c4
U,a Sevilla,Pregunta,3,B209_BA3c4
U,para llegar el viernes nueve de abril,Pregunta,3,B209_BA3c4
U,con el tren más rápido .,Pregunta,3,B209_BA3c4
M,¿ Quiere salir desde sevilla ? .,Confirmacion,3,B209_BA3c4
U,"No ,",Negacion,3,B209_BA3c4
U,quiero llegar a Sevilla .,Respuesta,3,B209_BA3c4
M,"Quiere horarios de trenes a sevilla ,",Confirmacion,3,B209_BA3c4
M,¿ desde sevilla ? .,Confirmacion,3,B209_BA3c4
U,"No ,",Negacion,3,B209_BA3c4
U,quiero obtener el horario para un viaje de ida,Pregunta,3,B209_BA3c4
U,a Sevilla,Pregunta,3,B209_BA3c4
U,para llegar el viernes nueve de abril,Pregunta,3,B209_BA3c4
U,con el tren más rápido .,Pregunta,3,B209_BA3c4
M,"¿ Desea salir el viernes , día 27 de febrero de 2004 ? .",Confirmacion,3,B209_BA3c4
U,No,Negacion,3,B209_BA3c4
U,quiero llegar a Sevilla,Respuesta,3,B209_BA3c4
U,el viernes nueve de abril .,Respuesta,3,B209_BA3c4
M,"Le consulto horarios de bilbao a sevilla llegando el viernes , día 9 de abril de 2004 .",Confirmacion,3,B209_BA3c4
M,Un momento por favor .,Espera,3,B209_BA3c4
M,Hay varios trenes . El primero sale a las 7 y 3 de la mañana y el último a las 3 y 30 de la tarde .,Respuesta,3,B209_BA3c4
M,Desea algo más ? .,Nueva_consulta,3,B209_BA3c4
U,"No , ya está , gracias .",Cierre,3,B209_BA3c4
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,3,B209_BA3c4
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,4,Z402_ZA4a0
U,Buenos días . Desearía saber los horarios de trenes que hay desde Monzón,Pregunta,4,Z402_ZA4a0
U,a Barcelona,Pregunta,4,Z402_ZA4a0
U,el diez de noviembre de este año,Pregunta,4,Z402_ZA4a0
U,entre las diez y las once de la mañana .,Pregunta,4,Z402_ZA4a0
M,¿ Qué día desea salir ? .,Pregunta,4,Z402_ZA4a0
U,El diez de noviembre .,Respuesta,4,Z402_ZA4a0
M,"Quiere horarios de trenes a barcelona ,",Confirmacion,4,Z402_ZA4a0
M,¿ desde zaragoza ? .,Confirmacion,4,Z402_ZA4a0
U,"Sí , por favor .",Afirmacion,4,Z402_ZA4a0
M,"Le consulto horarios de trenes con salida en zaragoza destino barcelona saliendo el miércoles , día 10 de noviembre de 2004 .",Confirmacion,4,Z402_ZA4a0
M,Un momento por favor .,Espera,4,Z402_ZA4a0
M,Hay varios trenes . El primero sale a la una y 50 de la madrugada y el último a las 7 de la tarde .,Respuesta,4,Z402_ZA4a0
M,Desea algo más ? .,Nueva_consulta,4,Z402_ZA4a0
U,"Sí , ¿ hay algún tren entre las diez y las once de la mañana ? .",Pregunta,4,Z402_ZA4a0
M,"Le consulto horarios de zaragoza a barcelona el miércoles , día 10 de noviembre de 2004 entre las 10 y las 11 de la mañana .",Confirmacion,4,Z402_ZA4a0
M,Un momento por favor .,Espera,4,Z402_ZA4a0
M,El único tren que realiza el trayecto es un talgo que sale a las 10 de la mañana y llega a las 2 de la tarde .,Respuesta,4,Z402_ZA4a0
M,Desea algo más ? .,Nueva_consulta,4,Z402_ZA4a0
U,"No , nada más gracias .",Cierre,4,Z402_ZA4a0
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,4,Z402_ZA4a0
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,5,Z402_ZB0c0
U,bueno desearía saber los horarios de trenes que hay de Zaragoza,Pregunta,5,Z402_ZB0c0
U,a Oviedo,Pregunta,5,Z402_ZB0c0
U,para los días uno o dos de agosto .,Pregunta,5,Z402_ZB0c0
M,¿ Quiere llegar a bilbao ? .,Confirmacion,5,Z402_ZB0c0
U,"No ,",Negacion,5,Z402_ZB0c0
U,quiero llegar a Oviedo .,Respuesta,5,Z402_ZB0c0
M,"Le consulto horarios de trenes con salida en zaragoza destino oviedo saliendo el domingo , día 1 de agosto de 2004 .",Confirmacion,5,Z402_ZB0c0
M,Un momento por favor .,Espera,5,Z402_ZB0c0
M,Sólo hay dos trenes . El primero sale a las 2 y 30 de la madrugada y el otro a las 11 y 11 de la mañana .,Respuesta,5,Z402_ZB0c0
M,Desea algo más ? .,Nueva_consulta,5,Z402_ZB0c0
U,Sí me podría dar el precio del tren que sale a las once de la mañana .,Pregunta,5,Z402_ZB0c0
M,El precio de ese tren en clase turista es 34 euros el billete de ida . Recuerde que el billete de ida y vuelta siempre supone un ahorro del 20 por ciento .,Respuesta,5,Z402_ZB0c0
M,Desea algo más ? .,Nueva_consulta,5,Z402_ZB0c0
U,"No , gracias .",Cierre,5,Z402_ZB0c0
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,5,Z402_ZB0c0
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,7,Z402_ZA8c2
U,Hola . Desearía conocer los horarios de los trenes que hay de Valencia,Pregunta,7,Z402_ZA8c2
U,a Madrid,Pregunta,7,Z402_ZA8c2
U,para el treinta y uno de diciembre,Pregunta,7,Z402_ZA8c2
U,que lleguen antes de las nueve de la noche .,Pregunta,7,Z402_ZA8c2
M,¿ Qué día desea salir ? .,Pregunta,7,Z402_ZA8c2
U,El treinta y uno de diciembre .,Respuesta,7,Z402_ZA8c2
M,"Le consulto horarios de trenes con salida en valencia destino madrid saliendo el viernes , día 31 de diciembre de 2004 .",Confirmacion,7,Z402_ZA8c2
M,Un momento por favor .,Espera,7,Z402_ZA8c2
M,Hay varios trenes . El primero sale a las 6 y 45 de la mañana y llega a las 10 y 17 de la mañana y el último sale a las 4 y 45 de la tarde y llega a las 8 y 14 de la tarde .,Respuesta,7,Z402_ZA8c2
M,Desea algo más ? .,Nueva_consulta,7,Z402_ZA8c2
U,Sí me podría decir por favor qué tipo de tren el último,Pregunta,7,Z402_ZA8c2
U,el de las dieciséis cuarenta y cinco .,Pregunta,7,Z402_ZA8c2
M,Un momento por favor .,Espera,7,Z402_ZA8c2
M,Hay varios tipos de trenes . El tren más rápido es un alaris y el más lento es un regional .,Respuesta,7,Z402_ZA8c2
M,Desea algo más ? .,Nueva_consulta,7,Z402_ZA8c2
U,"Sí , ¿ me podría decir qué tipo de tren es el que sale a las dieciséis cuarenta y cinco",Pregunta,7,Z402_ZA8c2
U,de Valencia ? .,Pregunta,7,Z402_ZA8c2
M,Ese tren es un alaris .,Respuesta,7,Z402_ZA8c2
M,Desea algo más ? .,Nueva_consulta,7,Z402_ZA8c2
U,"No , nada más gracias .",Cierre,7,Z402_ZA8c2
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,7,Z402_ZA8c2
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,8,V204_VA4c6
U,"Hola , quería saber horarios para ir a Vigo",Pregunta,8,V204_VA4c6
U,el próximo viernes .,Pregunta,8,V204_VA4c6
M,"Le consulto horarios de trenes con salida en valencia destino vigo saliendo el viernes , día 19 de diciembre de 2003 .",Confirmacion,8,V204_VA4c6
M,Un momento por favor .,Espera,8,V204_VA4c6
M,Hay varios trenes . El primero sale a las 7 y 3 de la madrugada y el último a las 11 de la noche .,Respuesta,8,V204_VA4c6
M,Desea algo más ? .,Nueva_consulta,8,V204_VA4c6
U,Quería salir por la tarde .,Pregunta,8,V204_VA4c6
M,Le consulto horarios .,Confirmacion,8,V204_VA4c6
M,Un momento por favor .,Espera,8,V204_VA4c6
M,El único tren que realiza el trayecto es un talgo que sale a las 3 y 30 de la tarde .,Respuesta,8,V204_VA4c6
M,Desea algo más ? .,Nueva_consulta,8,V204_VA4c6
U,¿ No hay ninguno que sea más rápido ? .,Pregunta,8,V204_VA4c6
M,Le consulto horarios .,Confirmacion,8,V204_VA4c6
M,Un momento por favor .,Espera,8,V204_VA4c6
M,"Hay varios trenes , El tren más rápido es un intercity que tarda 6 horas y 31 minutos y el más lento es un tipo trenhotel que tarda 9 horas .",Respuesta,8,V204_VA4c6
M,Desea algo más ? .,Nueva_consulta,8,V204_VA4c6
U,¿ A qué hora sale el Intercity ? .,Pregunta,8,V204_VA4c6
M,Ese tren sale a las 8 y 30 de la mañana y llega a las 3 y 1 de la tarde .,Respuesta,8,V204_VA4c6
M,Desea algo más ? .,Nueva_consulta,8,V204_VA4c6
U,"Sí , repítame los horarios del talgo , que me viene mejor .",Pregunta,8,V204_VA4c6
M,Le consulto horarios .,Confirmacion,8,V204_VA4c6
M,Un momento por favor .,Espera,8,V204_VA4c6
M,Ese tren sale a las 3 y 30 de la tarde y llega a las 10 y 20 de la noche .,Respuesta,8,V204_VA4c6
M,Desea algo más ? .,Nueva_consulta,8,V204_VA4c6
U,"No , nada más , muchas gracias .",Cierre,8,V204_VA4c6
M,Gracias por utilizar este servicio . Feliz viaje .,Cierre,8,V204_VA4c6
M,Bienvenido al servicio de información de trenes . ¿ En qué puedo ayudarle? .,Apertura,9,V204_VB0a3
U,"Buenas , es que tengo que ir a Mérida",Pregunta,9,V204_VB0a3
U,para finales del mes de enero . Quería saber los horarios de los trenes .,Pregunta,9,V204_VB0a3
M,¿ Qué día desea salir ? .,Pregunta,9,V204_VB0a3
U,Pues tendría que salir sobre el veintiocho de enero .,Respuesta,9,V204_VB0a3
M,"Le consulto horarios de trenes con salida en valencia destino mérida saliendo el miércoles , día 28 de enero de 2004 .",Confirmacion,9,V204_VB0a3
M,Un momento por favor .,Espera,9,V204_VB0a3
M,Hay varios trenes . El primero sale a las 7 y 3 de la madrugada y el último a las 11 de la noche .,Respuesta,9,V204_VB0a3
M,Desea algo más ? .,Nueva_consulta,9,V204_VB0a3
