Speaker,Utterance,Dialogue_Act,Dialogue_ID
S_29_S1,"Ciao, il mio nome e' Valentina. Sono qui per darti dei suggerimenti su come migliorare la tua dieta.",OPENING,0
S_29_U1,"Ciao io sono Annamaria… eh… Ciao io sono Annamaria... E penso di mangiare bene. Le mie abitudini alimentari di solito sono… cioè, credo che siano buone.",OPENING,0
S_29_S2,Che cosa hai mangiato per colazione?,QUESTION,0
S_29_U2,Eh… una tazza di latte e caffè e una brioche.,STATEMENT,0
S_29_S3,Che cosa hai mangiato per cena?,QUESTION,0
S_29_U3,"Eh… si: una mozzarella, delle fette biscottate integrali, eh… Dello speck",STATEMENT,0
S_29_S4,Segui una dieta variata?,QUESTION,0
S_29_U4,"La mia dieta è abbastanza variata, però per motivi pratici tendo a mangiare più o meno le stesse cose.",STATEMENT,0
S_29_S5,"Certo, organizzarti in modo da mangiare correttamente probabilmente non ti sembra facile, specialmente...",OFFER-GIVE-INFO,0
S_29_U5,"Eh… però diciamo che mi diletto molto in cucina: mi piace… mi piace cucinare e preparo spesso, tranne nei periodi di… ehm… di molto impegno, preparo spesso ehm… io, le cose da mangiare.",STATEMENT,0
S_29_S6,"Ah, bene!",ENCOURAGE-SORRY,0
S_29_U6,Anzi il mio… diciamo il piatto che mi viene meglio è la parmigiana.,STATEMENT,0
S_29_S7,Ti piacciono frutta e  verdura?,QUESTION,0
S_29_U7,"Tantissimo! Vado matta! E le cucino in ogni modo… vabbè la verdura mi piace sia cotta che cruda, qualsiasi tipo di verdura. La frutta… eh… i chili di frutta consumo!",STATEMENT,0
S_29_S8,"Fantastico! La ricerca ha dimostrato che ingerire le dosi raccomandate di Vitamina A e C, fibre e sali minerali  può avere...",PERSUASION-SUGGEST,0
S_29_U8,"Però non bevo molta acqua, purtroppo.",STATEMENT,0
S_29_S9,Ti attirano molto i dolci?,QUESTION,0
S_29_U9,"Mmm non tantissimo, vado matta più per il salato. Davanti a una pizza, diciamo.",STATEMENT,0
S_29_S10,Difficile resistere alle tentazioni!,ENCOURAGE-SORRY,0
S_29_U10,"Eh… sì difficile, però io resisto abbastanza. Quando so di avere esager… esagerato nell’aver mangiato qualcosa durante la settimana, o troppi dolci o troppe cose non proprio prelibate allora tiro il freno. Mi… Diciamo che purifico un po’.",STATEMENT,0
S_29_S11,"Vedo che, complessivamente, fai attenzione alla tua dieta, e ne sono contenta. Resisti alle tentazioni, si vede che tieni alla tua salute e al tuo aspetto!",ENCOURAGE-SORRY,0
S_29_U11,Grazie!,KIND-ATTITUDE_SMALL-TALK,0
S_29_S12,Ci sono aspetti particolari della dieta sui quali ti piacerebbe avere maggiori informazioni? Posso provare...,OFFER-GIVE-INFO,0
S_29_U12,"Ad esempio quante volte potrei mangiare, che ne so, formaggi o... pizze, queste cose qua.",INFO-REQUEST,0
S_29_S13,"Idealmente un pasto dovrebbe contenere da 75 a 100 grammi di carne, un frutto di media grandezza... I cibi pronti permettono di controllare le porzioni riportando sulla confezione il valore energetico in calorie.",PERSUASION-SUGGEST,0
S_29_U13,"Eh... quanta carne dovrei mangiare al giorno? Eh, no al giorno, a settimana?",INFO-REQUEST,0
S_29_S14,Ogni cellula e tessuto del corpo contiene proteine. Una donna di 55 kili ha bisogno di 40 o 50...,OFFER-GIVE-INFO,0
S_29_U14,E’ sbagliato mangiare tutti i giorni carne?,INFO-REQUEST,0
S_29_S15,Credo di sì,ANSWER,0
S_29_U15,Ehm... quanti giorni alla settimana dovrei mangiare il pesce?,INFO-REQUEST,0
S_29_S16,"I grassi insaturi si trovano in alcuni pesci, il cosiddetto pesce azzurro, e in alcuni oli vegetali... Una carenza di grassi insaturi provoca alterazioni della struttura e nella funzione di enzimi, determinando un certo numero di disturbi...",PERSUASION-SUGGEST,0
S_29_U16,"Quante volte più o meno dovrei mangiarlo, a settimana?",INFO-REQUEST,0
S_29_S17,"Mi dispiace, non so rispondere a questa domanda",ANSWER,0
S_29_U17,E devo mangiare prima o dopo andare in palestra?,INFO-REQUEST,0
S_29_S18,"Bisognerebbe mangiare solo se si ha fame, ed aspettare che la digestione sia completata prima...",PERSUASION-SUGGEST,0
S_29_U18,E prima o dopo di andare... di fare attività fisica?,INFO-REQUEST,0
S_29_S19,"Purtroppo sono poco esperta in questo campo. Sai, gli agenti artificiali vengono addestrati gradualmente, e in domini molto specializzati. Le loro conoscenze, quindi...",TALK-ABOUT-SELF,0
S_29_U19,Ok.,AGREE,0
S_29_S20,"Se hai dei problemi, in futuro, torna da me; proveremo a risolverli insieme...",OFFER-GIVE-INFO,0
S_29_U20,Ok.,AGREE,0
S_29_S21,E' stato davvero piacevole interagire con te. Torna pure quando vuoi.,CLOSING,0
S_29_U21,Grazie.,KIND-ATTITUDE_SMALL-TALK,0
T_9_S1,"Ciao, il mio nome e' Valentina. Sono qui per esserti di aiuto, possiamo chiaccherare sulle tue abitudini alimentari, e potrei darti dei suggerimenti che potrebbero servirti per migliorare la tua dieta. Per iniziare, come ti chiami?",OPENING,3
T_9_U1,daniele,OPENING,3
T_9_S2,"Proviamo a parlare, se vuoi, delle tue abitudini alimentari. Cosa mangi, di solito?",QUESTION,3
T_9_U2,"grassi,poca frutta e verdura",STATEMENT,3
T_9_S3,"Non vorrei farti una domanda indiscreta! Ma dimmi, ti piace mangiare?",QUESTION,3
T_9_U3,si,GENERIC-ANSWER,3
T_9_S4,"Dimmi, che cosa hai mangiato oggi per colazione?",QUESTION,3
T_9_U4,latte con caffe,STATEMENT,3
T_9_S5,"E ieri sera a cena, ti ricordi cosa hai mangiato?",QUESTION,3
T_9_U5,una puccia,STATEMENT,3
T_9_S6,"Ti alimenti spesso nel modo in cui mi hai raccontato, oppure si tratta di eccezioni?",QUESTION,3
T_9_U6,mi alimento spesso nel modo che ti ho spiegato,STATEMENT,3
T_9_S7,Che pensi di un magnifico piatto di spaghetti al dente?,QUESTION,3
T_9_U7,sono molto buoni,STATEMENT,3
T_9_S8,Che pensi di un bel piatto di frittura calda e croccante?,QUESTION,3
T_9_U8,é molto buona,STATEMENT,3
T_9_S9,"In media, sapresti ricostruire quanta verdura mangi, ogni giorno?",QUESTION,3
T_9_U9,mediamente 100 grammi,STATEMENT,3
T_9_S10,"Tendi a mangiare sempre le stesse cose, oppure a seguire una dieta abbastanza variata?",QUESTION,3
T_9_U10,tendo a mangiare le stesse cose,STATEMENT,3
T_9_S11,"Bene:  prova ora a riflettere sulla tua dieta. Pensi che sia giusta, o ti piacerebbe cambiare le tue abitudini alimentari?",QUESTION,3
T_9_U11,"le mie abitudini alimentari vanno cambiate,ma di poco",STATEMENT,3
