Speaker,Utterance,Dialogue_Act,Dialogue_ID,File_ID
Lucas,Alors!,greet,0,Dial_20110615_105040
Lucas,Il faut que tu trouves l' adresse de l' entreprise de plasturgie,ask,0,Dial_20110615_105040
Ben,Où est l'entreprise qu'on cherche ?,help,0,Dial_20110615_105040
Lucas,Je ne sais pas... mon oncle a dit que c' était quelque part dans ce labo. Il faut fouiller. Regarde voir près du tableau noir là bas.,inform,0,Dial_20110615_105040
Lucas,Allez!,quit,0,Dial_20110615_105040
Samir,"Bonjour, je suis Samir le concepteur de produit.",greet,1,Dial_20110609_111632
Samir,Qu'est-ce que je peux faire pour vous?,ask,1,Dial_20110609_111632
Julie,ou peut on faire des plans?,find_plans,1,Dial_20110609_111632
Samir,"Oui, ils sont dans l' armoire, mais elle est verrouillée par un code. Ah la protection des données. Un défi permanent. Je ne connais pas ce code, mais je sais que le responsable regarde souvent autour de lui avant de le taper. Je sais seulement qu' il y a 3 chiffres.",inform,1,Dial_20110609_111632
Samir,"Mais avant, voulez vous que je vous parle un peu de mon métier, des études que j'ai faites, ou encore de mes collègues ?",ask,1,Dial_20110609_111632
Julie,"oui, j'aime bien vous entendre parler de vos collègues",staff_job,1,Dial_20110609_111632
Samir,mon métier peut plaire autant aux filles qu' aux garçons.,inform,1,Dial_20110609_111632
Samir,"Voulez vous en savoir plus sur mon métier, mes études, ou les mesures de sécurité applicables ici ?",ask,1,Dial_20110609_111632
Julie,je m'interesse a tout ce qui concerne la securité,security_policies,1,Dial_20110609_111632
Samir,"vous savez, ici vous êtes dans un lieu stratégique. Les nouveautés, les produits de demain, c' est ici qu' ils naissent. Et il faut les protéger. C' est pour ça qu' on ne laisse pas entrer n' importe qui dans cette pièce.",inform,1,Dial_20110609_111632
Samir,"Voulez vous en savoir plus sur mon métier, ou sur les études que j'ai faites ?",ask,1,Dial_20110609_111632
Julie,mais moi je veux parler de sécurité,other,1,Dial_20110609_111632
Samir,Je suis desolé. Je ne peux pas repondre à cette question. J peux vous parler de mon métier ou des études que j'ai faite.,other,1,Dial_20110609_111632
Samir,Voulez vous en savoir plus?,ask,1,Dial_20110609_111632
Julie,parlez moi de votre métier,inform_job,1,Dial_20110609_111632
Julie,parlez moi de votre métier,inform_job,1,Dial_20110609_111632
Samir,mon métier peut plaire autant aux filles qu' aux garçons.,inform,1,Dial_20110609_111632
Julie,parlez moi de votre métier,inform_job,1,Dial_20110609_111632
Samir,Voulez vous en savoir plus?,ask,1,Dial_20110609_111632
Julie,parlez moi de votre métier,inform_job,1,Dial_20110609_111632
Samir,c' est moi qui conçois et dessine les articles qu' on fabrique dans cette entreprise.,inform,1,Dial_20110609_111632
Samir,Voulez vous en savoir plus sur les études que j'ai faites ?,ask,1,Dial_20110609_111632
Julie,"oui bien sur, j'aime vous entendre parler",yes,1,Dial_20110609_111632
Julie,"oui bien sur, j'aime vous entendre parler",yes,1,Dial_20110609_111632
Samir,"C' est un métier de création. Plusieurs formations peuvent mener à ce métier les arts appliqués, des études de design industriel, de conception assistée par ordinateur",inform,1,Dial_20110609_111632
Samir,Bonne chance pour trouver vos plans !,quit,1,Dial_20110609_111632
Mélissa,Et bien vous avez déjà trouvez le moule et la machine? Vous vous débrouillez très bien!,ask,2,Dial_20111120_190619
Lucas,"Merci, comment trouver le truc qu'il me manque?",inform_engine,2,Dial_20111120_190619
Mélissa,"Vous devez aller préparer la matière plastique qui alimentera la machine. Ne perdez pas de temps, tout doit s'enchaîner sans temps mort sinon la production sera ralentie.",inform,2,Dial_20111120_190619
Lucas,"Merci beaucoup, j'y vais de ce pas!",quit,2,Dial_20111120_190619
Mélissa,Ravie d'avoir pu vous aider. Bonne chance pour la suite !,quit,2,Dial_20111120_190619
Serge,Ah! vous voilà enfin.,greet,3,Dial_20111121_110459
Serge,Vous venez tester votre manette je suppose?,ask,3,Dial_20111121_110459
Ben,"Oui, mais pourquoi devons-nous la tester?",other,3,Dial_20111121_110459
Serge,"Les tests permettent de déterminer si une pièce répond bien au normes imposées. Si ce n'est pas le cas on ne la fera pas sortir de l'usine, on la recyclera pour fabriquer autre chose.",other,3,Dial_20111121_110459
Ben,C'est intéressant. On doit faire quoi maintenant?,quality_control,3,Dial_20111121_110459
Serge,Je vais m'occuper des tests les plus compliqués. Je vous laisse tester la résistance de la coque en laissant tomber différents poids aux endroits que je vous indiquerai.,inform,3,Dial_20111121_110459
Serge,Voulez vous que je vous décrive un peu mon métier ?,ask,3,Dial_20111121_110459
Ben,"Non merci, c'est bon!",no,3,Dial_20111121_110459
Serge,Bonne continuation alors!,quit,3,Dial_20111121_110459
