Utterance,Dialogue_Act,Speaker,Dialogue_ID
"mein Name ist Keller $K $E Doppel-$L $E $R",INTRODUCE,A,1
"es geht um den Termin den wir für nächste Woche vereinbaren wollten vielleicht",INIT,A,1
"ja hallo Herr Keller",GREET,B,1
"mein Name ist Mengele $M $E $N $G $E $L $E",INTRODUCE,B,1
"ja wir wollen doch ge nach Hannover",INIT,A,1
"es geht um den Termin den wir für nächste Woche vereinbaren wollten vielleicht",INIT,A,2
"ja hallo Herr Keller",GREET,B,2
"mein Name ist Mengele $M $E $N $G $E $L $E",INTRODUCE,B,2
"ja wir wollen doch ge nach Hannover",INIT,A,2
"wann hätten Sie denn mal Zeit",REQUEST_SUGGEST,A,2
"ja hallo Herr Keller",GREET,B,3
"mein Name ist Mengele $M $E $N $G $E $L $E",INTRODUCE,B,3
"ja wir wollen doch ge nach Hannover",INIT,A,3
"wann hätten Sie denn mal Zeit",REQUEST_SUGGEST,A,3
"zu unserm Termin",INFORM,B,3
"mein Name ist Mengele $M $E $N $G $E $L $E",INTRODUCE,B,4
"ja wir wollen doch ge nach Hannover",INIT,A,4
"wann hätten Sie denn mal Zeit",REQUEST_SUGGEST,A,4
"zu unserm Termin",INFORM,B,4
"ja <ähm> haben Sie Ihren Dienstkalender da",REQUEST_COMMENT,B,4
"ja wir wollen doch ge nach Hannover",INIT,A,5
"wann hätten Sie denn mal Zeit",REQUEST_SUGGEST,A,5
"zu unserm Termin",INFORM,B,5
"ja <ähm> haben Sie Ihren Dienstkalender da",REQUEST_COMMENT,B,5
"ja hätte ich da",FEEDBACK_POSITIVE,A,5
"wann hätten Sie denn mal Zeit",REQUEST_SUGGEST,A,6
"zu unserm Termin",INFORM,B,6
"ja <ähm> haben Sie Ihren Dienstkalender da",REQUEST_COMMENT,B,6
"ja hätte ich da",FEEDBACK_POSITIVE,A,6
"also es geht bei mir",DELIBERATE,A,6
"zu unserm Termin",INFORM,B,7
"ja <ähm> haben Sie Ihren Dienstkalender da",REQUEST_COMMENT,B,7
"ja hätte ich da",FEEDBACK_POSITIVE,A,7
"also es geht bei mir",DELIBERATE,A,7
"wir brauchen zwei Tage um die Firma zu besichtigen denke ich",INFORM,A,7
"ja <ähm> haben Sie Ihren Dienstkalender da",REQUEST_COMMENT,B,8
"ja hätte ich da",FEEDBACK_POSITIVE,A,8
"also es geht bei mir",DELIBERATE,A,8
"wir brauchen zwei Tage um die Firma zu besichtigen denke ich",INFORM,A,8
"und ich hätte Zeit schon am achten neunten April gleich am Anfang des Monats",SUGGEST,A,8
"ja hätte ich da",FEEDBACK_POSITIVE,A,9
"also es geht bei mir",DELIBERATE,A,9
"wir brauchen zwei Tage um die Firma zu besichtigen denke ich",INFORM,A,9
"und ich hätte Zeit schon am achten neunten April gleich am Anfang des Monats",SUGGEST,A,9
"mhm",BACKCHANNEL,B,9
"also es geht bei mir",DELIBERATE,A,10
"wir brauchen zwei Tage um die Firma zu besichtigen denke ich",INFORM,A,10
"und ich hätte Zeit schon am achten neunten April gleich am Anfang des Monats",SUGGEST,A,10
"mhm",BACKCHANNEL,B,10
"da bin ich schon anderweitig",REJECT,B,10
"wir brauchen zwei Tage um die Firma zu besichtigen denke ich",INFORM,A,11
"und ich hätte Zeit schon am achten neunten April gleich am Anfang des Monats",SUGGEST,A,11
"mhm",BACKCHANNEL,B,11
"da bin ich schon anderweitig",REJECT,B,11
"das fällt bei mir flach",REJECT,B,11
"und ich hätte Zeit schon am achten neunten April gleich am Anfang des Monats",SUGGEST,A,12
"mhm",BACKCHANNEL,B,12
"da bin ich schon anderweitig",REJECT,B,12
"das fällt bei mir flach",REJECT,B,12
"mhm mhm mhm",BACKCHANNEL,A,12
"mhm",BACKCHANNEL,B,13
"da bin ich schon anderweitig",REJECT,B,13
"das fällt bei mir flach",REJECT,B,13
"mhm mhm mhm",BACKCHANNEL,A,13
"<hm> hätten Sie einen Vorschlag",REQUEST_SUGGEST,A,13
"ja",ACCEPT,A,14
"mhm",BACKCHANNEL,A,14
"ja wäre mir achter neunter lieber wenn das bei Ihnen ginge",SUGGEST,A,14
"meinetwegen kein Problem",ACCEPT,B,14
"aha aha aha wunderbar",FEEDBACK_POSITIVE,A,14
"mhm",BACKCHANNEL,A,15
"ja wäre mir achter neunter lieber wenn das bei Ihnen ginge",SUGGEST,A,15
"meinetwegen kein Problem",ACCEPT,B,15
"aha aha aha wunderbar",FEEDBACK_POSITIVE,A,15
"wie wollen wir denn anreisen",INIT,A,15
"ja wäre mir achter neunter lieber wenn das bei Ihnen ginge",SUGGEST,A,16
"meinetwegen kein Problem",ACCEPT,B,16
"aha aha aha wunderbar",FEEDBACK_POSITIVE,A,16
"wie wollen wir denn anreisen",INIT,A,16
"<%>",NOT_CLASSIFIABLE,B,16
"meinetwegen kein Problem",ACCEPT,B,17
"aha aha aha wunderbar",FEEDBACK_POSITIVE,A,17
"wie wollen wir denn anreisen",INIT,A,17
"<%>",NOT_CLASSIFIABLE,B,17
"also nehmen wir erst mal den achten und neunten fest",CONFIRM,B,17
"aha aha aha wunderbar",FEEDBACK_POSITIVE,A,18
"wie wollen wir denn anreisen",INIT,A,18
"<%>",NOT_CLASSIFIABLE,B,18
"also nehmen wir erst mal den achten und neunten fest",CONFIRM,B,18
"und Anreise würde ich sagen das günstigste Verkehrsmittel wäre für uns das Flugzeug",SUGGEST,B,18
"wie wollen wir denn anreisen",INIT,A,19
"<%>",NOT_CLASSIFIABLE,B,19
"also nehmen wir erst mal den achten und neunten fest",CONFIRM,B,19
"und Anreise würde ich sagen das günstigste Verkehrsmittel wäre für uns das Flugzeug",SUGGEST,B,19
"ja",ACCEPT,A,19
"mhm",BACKCHANNEL,A,20
"dann sind wir in etwa siebzig Minuten Flugzeig Flugzeit da sind wir da",INFORM,B,20
"und am nächsten Tag nehmen wir den letzten Flug von Hannover zurück",SUGGEST,B,20
"einundzwanzig Uhr fünfunddreißig",SUGGEST,A,20
"gut",ACCEPT,B,20
"dann sind wir in etwa siebzig Minuten Flugzeig Flugzeit da sind wir da",INFORM,B,21
"und am nächsten Tag nehmen wir den letzten Flug von Hannover zurück",SUGGEST,B,21
"einundzwanzig Uhr fünfunddreißig",SUGGEST,A,21
"gut",ACCEPT,B,21
"könnten wir eine Stunde früher vielleicht zurück",SUGGEST,A,21
"und am nächsten Tag nehmen wir den letzten Flug von Hannover zurück",SUGGEST,B,22
"einundzwanzig Uhr fünfunddreißig",SUGGEST,A,22
"gut",ACCEPT,B,22
"könnten wir eine Stunde früher vielleicht zurück",SUGGEST,A,22
"weil ich hätte dann no muß mit meiner Frau dann noch zum Essen gehen am Abend",GIVE_REASON,A,22
"einundzwanzig Uhr fünfunddreißig",SUGGEST,A,23
"gut",ACCEPT,B,23
"könnten wir eine Stunde früher vielleicht zurück",SUGGEST,A,23
"weil ich hätte dann no muß mit meiner Frau dann noch zum Essen gehen am Abend",GIVE_REASON,A,23
"das wäre ganz praktisch",INFORM,A,23
"gut",ACCEPT,B,24
"könnten wir eine Stunde früher vielleicht zurück",SUGGEST,A,24
"weil ich hätte dann no muß mit meiner Frau dann noch zum Essen gehen am Abend",GIVE_REASON,A,24
"das wäre ganz praktisch",INFORM,A,24
"das wäre kein Problem",ACCEPT,B,24
"könnten wir eine Stunde früher vielleicht zurück",SUGGEST,A,25
"weil ich hätte dann no muß mit meiner Frau dann noch zum Essen gehen am Abend",GIVE_REASON,A,25
"das wäre ganz praktisch",INFORM,A,25
"das wäre kein Problem",ACCEPT,B,25
"wunderbar dann nehmen wir doch den um zwanzig Uhr fünfunddreißig",SUGGEST,A,25
"weil ich hätte dann no muß mit meiner Frau dann noch zum Essen gehen am Abend",GIVE_REASON,A,26
"das wäre ganz praktisch",INFORM,A,26
"das wäre kein Problem",ACCEPT,B,26
"wunderbar dann nehmen wir doch den um zwanzig Uhr fünfunddreißig",SUGGEST,A,26
"gut auch recht",ACCEPT,B,26
"das wäre ganz praktisch",INFORM,A,27
"das wäre kein Problem",ACCEPT,B,27
"wunderbar dann nehmen wir doch den um zwanzig Uhr fünfunddreißig",SUGGEST,A,27
"gut auch recht",ACCEPT,B,27
"dann wollen Sie den buchen oder ich",REQUEST_COMMIT,B,27
"das wäre kein Problem",ACCEPT,B,28
"wunderbar dann nehmen wir doch den um zwanzig Uhr fünfunddreißig",SUGGEST,A,28
"gut auch recht",ACCEPT,B,28
"dann wollen Sie den buchen oder ich",REQUEST_COMMIT,B,28
"ich buche den",COMMIT,A,28
"wunderbar dann nehmen wir doch den um zwanzig Uhr fünfunddreißig",SUGGEST,A,29
"gut auch recht",ACCEPT,B,29
"dann wollen Sie den buchen oder ich",REQUEST_COMMIT,B,29
"ich buche den",COMMIT,A,29
"ich sage meiner Sekretärin Bescheid sie soll ihn buchen",COMMIT,A,29
"gut auch recht",ACCEPT,B,30
"dann wollen Sie den buchen oder ich",REQUEST_COMMIT,B,30
"ich buche den",COMMIT,A,30
"ich sage meiner Sekretärin Bescheid sie soll ihn buchen",COMMIT,A,30
"dann sagen wir am achten hin am neunten zurück",CONFIRM,A,30
"dann wollen Sie den buchen oder ich",REQUEST_COMMIT,B,31
"ich buche den",COMMIT,A,31
"ich sage meiner Sekretärin Bescheid sie soll ihn buchen",COMMIT,A,31
"dann sagen wir am achten hin am neunten zurück",CONFIRM,A,31
"und sehen uns dann direkt am Flughafen denke ich",SUGGEST,A,31
"ich buche den",COMMIT,A,32
"ich sage meiner Sekretärin Bescheid sie soll ihn buchen",COMMIT,A,32
"dann sagen wir am achten hin am neunten zurück",CONFIRM,A,32
"und sehen uns dann direkt am Flughafen denke ich",SUGGEST,A,32
"gut",FEEDBACK_POSITIVE,B,32
"ich sage meiner Sekretärin Bescheid sie soll ihn buchen",COMMIT,A,33
"dann sagen wir am achten hin am neunten zurück",CONFIRM,A,33
"und sehen uns dann direkt am Flughafen denke ich",SUGGEST,A,33
"gut",FEEDBACK_POSITIVE,B,33
"einverstanden",ACCEPT,B,33
"dann sagen wir am achten hin am neunten zurück",CONFIRM,A,34
"und sehen uns dann direkt am Flughafen denke ich",SUGGEST,A,34
"gut",FEEDBACK_POSITIVE,B,34
"einverstanden",ACCEPT,B,34
"gut wunderbar",FEEDBACK_POSITIVE,A,34
"und sehen uns dann direkt am Flughafen denke ich",SUGGEST,A,35
"gut",FEEDBACK_POSITIVE,B,35
"einverstanden",ACCEPT,B,35
"gut wunderbar",FEEDBACK_POSITIVE,A,35
"auf Wiederschauen Herr Mengele",BYE,A,35
"gut",FEEDBACK_POSITIVE,B,36
"einverstanden",ACCEPT,B,36
"gut wunderbar",FEEDBACK_POSITIVE,A,36
"auf Wiederschauen Herr Mengele",BYE,A,36
"das war es",CLOSE,B,36
"einverstanden",ACCEPT,B,37
"gut wunderbar",FEEDBACK_POSITIVE,A,37
"auf Wiederschauen Herr Mengele",BYE,A,37
"das war es",CLOSE,B,37
"Wiederschauen Herr Keller",BYE,B,37
"wann hätten Sie denn Zeit",REQUEST_SUGGEST,A,38
"also bei mir schaut das im Februar eigentlich recht schlecht aus",EXCLUDE,B,38
"ich würde v vielleicht Anfang März vorschlagen",SUGGEST,B,38
"wie schaut es",NOT_CLASSIFIABLE,B,38
"ja <häs> da ginge es bei mir sehr gut am sechsten siebten oder auch achten März",SUGGEST,A,38
"also bei mir schaut das im Februar eigentlich recht schlecht aus",EXCLUDE,B,39
"ich würde v vielleicht Anfang März vorschlagen",SUGGEST,B,39
"wie schaut es",NOT_CLASSIFIABLE,B,39
"ja <häs> da ginge es bei mir sehr gut am sechsten siebten oder auch achten März",SUGGEST,A,39
"ja das würde bei mir auch sehr gut passen",ACCEPT,B,39
"ich würde v vielleicht Anfang März vorschlagen",SUGGEST,B,40
"wie schaut es",NOT_CLASSIFIABLE,B,40
"ja <häs> da ginge es bei mir sehr gut am sechsten siebten oder auch achten März",SUGGEST,A,40
"ja das würde bei mir auch sehr gut passen",ACCEPT,B,40
"ja wunderbar",FEEDBACK_POSITIVE,A,40
"wie schaut es",NOT_CLASSIFIABLE,B,41
"ja <häs> da ginge es bei mir sehr gut am sechsten siebten oder auch achten März",SUGGEST,A,41
"ja das würde bei mir auch sehr gut passen",ACCEPT,B,41
"ja wunderbar",FEEDBACK_POSITIVE,A,41
"dann machen wir das Wochenende und da es nur eineinhalb Tage sind sollen wir Freitag Samstag machen",SUGGEST,A,41
"ja <häs> da ginge es bei mir sehr gut am sechsten siebten oder auch achten März",SUGGEST,A,42
"ja das würde bei mir auch sehr gut passen",ACCEPT,B,42
"ja wunderbar",FEEDBACK_POSITIVE,A,42
"dann machen wir das Wochenende und da es nur eineinhalb Tage sind sollen wir Freitag Samstag machen",SUGGEST,A,42
"ja ist mir recht",ACCEPT,B,42
"ja das würde bei mir auch sehr gut passen",ACCEPT,B,43
"ja wunderbar",FEEDBACK_POSITIVE,A,43
"dann machen wir das Wochenende und da es nur eineinhalb Tage sind sollen wir Freitag Samstag machen",SUGGEST,A,43
"ja ist mir recht",ACCEPT,B,43
"wunderbar",FEEDBACK_POSITIVE,A,43
"ja wunderbar",FEEDBACK_POSITIVE,A,44
"dann machen wir das Wochenende und da es nur eineinhalb Tage sind sollen wir Freitag Samstag machen",SUGGEST,A,44
"ja ist mir recht",ACCEPT,B,44
"wunderbar",FEEDBACK_POSITIVE,A,44
"und mit welchem ja wie sollen wir hinkommen",INIT,A,44
"dann machen wir das Wochenende und da es nur eineinhalb Tage sind sollen wir Freitag Samstag machen",SUGGEST,A,45
